Date,Open,High,Low,Close,Volume
16/05/17,629.900024,647,629.900024,643.900024,426939
17/05/17,645,647,636.049988,638.099976,304687
18/05/17,635,635,622.200012,624.900024,470858
19/05/17,628,635.599976,610,616.450012,285139
22/05/17,612.099976,624.400024,596.400024,598.900024,401429
23/05/17,595.099976,609.450012,580.950012,601.900024,739125
24/05/17,604,609.900024,591.549988,596.049988,374373
25/05/17,596.549988,619,596.549988,615.25,472017
26/05/17,617.299988,625.950012,606,610.400024,1217053
29/05/17,612,617.900024,605,608.25,532092
30/05/17,609,629.5,601.75,627.150024,467679
31/05/17,630,632.950012,622.450012,628.299988,333451
01/06/17,632,641,630,637.450012,545589
02/06/17,638.5,645.900024,636.849976,639.700012,622003
05/06/17,641.799988,647.900024,631.799988,637.75,619030
06/06/17,637.900024,640,620.150024,621.5,388282
07/06/17,624,629.950012,618.049988,624.950012,594558
08/06/17,627,629,612.599976,614.25,329876
09/06/17,616,623,610.549988,620.450012,288565
12/06/17,621,629.450012,615,618.400024,534797
13/06/17,620,625.75,614.900024,616.549988,347822
14/06/17,618,619.450012,612.099976,614.799988,413128
15/06/17,615,621.900024,609.75,612,236540
16/06/17,612.400024,618.950012,610.099976,611.849976,173600
19/06/17,614,622.950012,613.349976,615.900024,470044
20/06/17,619,625.5,617.5,621.299988,435554
21/06/17,623.5,631.900024,618.299988,620.950012,759234
22/06/17,621.700012,625.549988,613.450012,615.799988,192837
23/06/17,615.799988,617.650024,598.450012,605.900024,618279
27/06/17,606.299988,607.799988,587.549988,592.450012,326655
28/06/17,592,602.950012,585,597.5,653181
29/06/17,597.5,605.75,592.650024,600.75,531463
30/06/17,602,609.849976,588.849976,606.950012,260092
03/07/17,620,625.950012,611.5,623.700012,783075
04/07/17,629.400024,631.75,623,625.549988,733045
05/07/17,625,647.099976,622.849976,644,1513309
06/07/17,653.950012,657.450012,642.200012,645.150024,1658885
07/07/17,645,653.5,639,648.5,1021504
10/07/17,650.400024,652.25,647.700012,648.900024,60865
11/07/17,650,652,634.75,637.299988,618174
12/07/17,640,649.700012,638,642.400024,602803
13/07/17,643.849976,645.700012,637.700012,641,341127
14/07/17,640.799988,642.349976,633.200012,639.200012,447766
17/07/17,639.849976,641.849976,628.200012,629.75,689100
18/07/17,630.700012,634.849976,621,623,587324
19/07/17,624.700012,631.25,623.299988,628.349976,601006
20/07/17,628.099976,630.349976,623.599976,626.099976,244824
21/07/17,627.400024,628.049988,618.650024,623.200012,684735
24/07/17,624.650024,627.900024,615.099976,617.650024,311004
25/07/17,617.049988,625.599976,617.049988,618.150024,276106
26/07/17,617.099976,630.099976,617.099976,626.099976,570537
27/07/17,627.5,634.700012,618.950012,620.799988,575178
28/07/17,625,628.799988,619.549988,623.799988,452522
31/07/17,612.700012,622.25,611.5,619.900024,537150
01/08/17,620.049988,624.349976,613,614.099976,315243
02/08/17,618.950012,622.349976,610.299988,612.25,461110
03/08/17,617.25,617.700012,596.75,600.150024,637146
04/08/17,600.700012,607.549988,594.200012,606.349976,1222797
07/08/17,607.950012,611.75,605.049988,607,352116
08/08/17,609,613.549988,592.150024,596.049988,545816
09/08/17,582.450012,584.900024,562.5,579.049988,2197681
10/08/17,574.099976,587.900024,560.400024,576.75,1066641
11/08/17,566.099976,583.799988,560.450012,578.349976,785813
14/08/17,574.25,594,574.25,592,315373
16/08/17,595,603.900024,586,601.099976,366767
17/08/17,603.5,605.299988,588.849976,591.349976,377020
18/08/17,586.150024,598.799988,583.549988,592.700012,465032
21/08/17,594,598.700012,585.299988,586.5,422721
22/08/17,587.200012,594.700012,576.5,582.799988,509709
23/08/17,585.099976,592,582.799988,588.099976,513770
24/08/17,590.950012,597.549988,575,583.849976,394780
28/08/17,586,595.200012,584,589.700012,1117309
29/08/17,590.099976,596.799988,585,586.599976,339087
30/08/17,590,596.599976,586,588.849976,598100
31/08/17,592,593.400024,582.099976,584.049988,753076
01/09/17,586.849976,591.650024,584,586.549988,192521
04/09/17,587.450012,589.5,571,580.549988,1012245
