Open,High,Low,Close,Volume
315.399994,318.450012,310,311.549988,355029
309.950012,315.100006,307.299988,311.700012,218241
301.649994,312.600006,301.649994,308.549988,394758
309,310.700012,303.100006,305.100006,111084
303.25,312.75,303,311.75,321232
311.75,314.899994,307.149994,312.850006,266249
311.25,316.799988,311.25,313.799988,311927
315,318,310.049988,311.450012,200586
312,312,307,307.950012,190372
303.299988,314.600006,303.299988,309.75,409070
314.899994,314.899994,310.149994,311.549988,302209
310.049988,310.049988,300.100006,302.5,601690
307.700012,316.100006,304.200012,314.149994,445653
314.950012,321,310.549988,319.799988,542578
321.799988,324,315.5,319.899994,892845
320,331.850006,318.25,328.149994,1078434
329,329.950012,319.049988,320.399994,727386
323.25,326,320,323.25,337201
325,327,322.149994,323.700012,122515
326.850006,326.850006,320.5,323.100006,174308
319.600006,330,319.600006,322.75,519906
322.200012,326.5,321,323.850006,124676
326.5,333,325.25,326.25,479100
328,335.75,324,333.649994,354311
335,335.799988,326,328.350006,398831
326,330.799988,322,327,309212
325,325.75,317.25,323.299988,266109
325.5,328,323.100006,325.549988,164006
327,330.5,325.299988,327.25,137987
325,332.75,325,330.950012,369629
332.899994,343.700012,332.049988,340.450012,951227
342.700012,348.5,336.350006,345.950012,680711
344,353.700012,343,352.5,595266
349,352.399994,341.5,343.700012,390992
343.25,349.5,343.25,345.600006,188407
346,356.5,346,353.850006,410243
348.5,355.899994,348.5,353.549988,260807
354,356.049988,340.25,342.200012,206400
340,344.75,332.200012,342.950012,224656
344.5,344.5,335,338.299988,124441
336,337.049988,326,328.649994,167803
331.100006,342,331,339.850006,275566
340,344.450012,335.549988,336.649994,198983
336,339.5,331,334.299988,314292
335.100006,338.5,331.399994,335.5,441523
337.700012,340,333.100006,335.100006,196175
333.5,341,326.25,339.75,240802
338.399994,345,338.350006,339.450012,224091
337,343.5,329.100006,330.350006,205919
332,334,322.100006,324.149994,146557
321.200012,321.200012,313.350006,317.299988,357737
322,324.700012,298.200012,305.049988,480242
295,304.200012,295,297.700012,476310
300,308,298.549988,304.350006,486602
305,333,300.299988,327.899994,893899
330,330.600006,314,319.149994,367394
315.299988,324.700012,315.299988,321.549988,476540
323,325.399994,312.149994,316.200012,377893
317,318.799988,306,308.549988,493613
314.049988,316.399994,311.200012,314.850006,348082
316,321,311.75,319.600006,311742
312,318,304.5,314.350006,378555
317.350006,319.299988,307.100006,308.600006,177607
310,312.600006,305.75,307.450012,267263
306.149994,313,306.149994,312.200012,176450
316,316,309.100006,311.200012,168746
316,316,311.700012,315.350006,156435
317.899994,322.5,315.100006,319.5,547363
321.5,322.549988,312.649994,314.200012,413737
311.100006,315.5,309,311.549988,327160
311,312,307.299988,308.700012,191524
315,318.600006,310.25,317.350006,465195
318,318.5,314.149994,315.100006,249774
315.100006,324.700012,312.799988,320.399994,345612
322.950012,329.399994,321.149994,328.299988,710950
329,331.899994,324.25,326.25,294842
329,329,325.700012,327,194733
328,338.950012,324.5,332.450012,864235
335,339.399994,328,334.299988,831865
331.649994,334.700012,329.399994,330,316856
324.5,326.899994,319.100006,322.399994,303986
321.899994,329.399994,321,323.950012,416554
325.850006,327.899994,322.899994,325.799988,278125
325.049988,326.75,321.799988,324.700012,320084
326,328.850006,324.149994,325.200012,380909
328.600006,329.5,325.5,327.049988,356011
328,331.600006,324,327.899994,266764
328.100006,331.700012,326.049988,328.899994,339961
331.799988,331.799988,324.5,325.25,226929
324.799988,328,324,325,271863
324.299988,327.700012,323.350006,325.200012,280849
319,327.850006,319,325.5,152171
327,327.5,324.100006,325,217561
325.5,330.399994,325,328.75,388858
329,330.700012,325.299988,326.200012,281130
329.5,329.5,324.450012,327.350006,457368
327.75,329.700012,326.450012,328.149994,185829
328.5,329.5,327,328,153615
328.950012,330.700012,326.149994,327.549988,324531
329.899994,331,319.200012,322.049988,1072875
322.200012,340.600006,322.200012,336.799988,1150743
339.700012,353.700012,339.700012,352.649994,1190859
355,355.049988,348.200012,349.549988,317349
349.600006,349.850006,344.850006,347.5,174327
346.200012,348.75,338.200012,339.950012,594862
343,361.350006,341,355.700012,1449265
357.899994,370.75,357,367.899994,1047705
370.100006,370.950012,360.200012,361.75,698277
361.799988,373.5,360.5,362.200012,679779
360,365.5,358.25,360.5,625459
360.299988,367.5,360.299988,363.200012,318825
367.149994,384.899994,367,383.299988,1767332
385,390.899994,384.899994,387.649994,1121419
390.700012,404.5,389.950012,401.649994,1634094
405,412.25,390.149994,401.25,1182500
400,403.799988,391.5,396.450012,353655
398,407.399994,393,405.299988,627753
407.5,408.450012,396.100006,401.100006,460680
397.149994,404.549988,390.950012,396.350006,741652
397.5,400.799988,388.350006,390.25,327817
391.5,399.700012,377.049988,382,506939
387.899994,394,382.5,387.200012,247278
386.700012,397.5,381,395.399994,482115
398,399.5,392.100006,396.350006,273045
399,402.75,394.600006,396.299988,186990
398.899994,413.899994,397.299988,410.5,1244473
415,424.649994,413.5,418.600006,826632
421,421,410.200012,413.049988,250124
412,418.5,407.549988,409.200012,473894
411.5,427,411.5,425.149994,1147818
430,434,427,429.600006,594320
430.5,431.75,421.149994,423.25,464431
424,428.549988,418.299988,420.399994,239539
422.299988,424.700012,411.399994,412.75,301865
416.399994,416.700012,410.5,412.5,575065
412.549988,419.5,411.299988,416.049988,379929
420,420.899994,403.100006,405.5,636709
408.649994,408.649994,395.100006,397.700012,660829
400,402.600006,394.149994,395.899994,320961
397.200012,408.5,395.299988,407.399994,538019
408.600006,417,405.5,410.799988,731495
412,413.899994,402.149994,406.149994,305814
407,409.5,398,399.600006,256522
398,405,392.5,399.600006,674780
401,405.950012,400.100006,401.75,529343
401.75,407.25,399,402.200012,890738
403.899994,404.850006,396,397.5,943271
402.899994,416.899994,399.350006,414.450012,1703575
420,424.299988,409.100006,412.200012,1118859
414.350006,416,406.399994,410.5,542325
413.75,424.299988,412.600006,422.799988,867386
425,426,416.950012,421.649994,714086
424.700012,426.450012,421,422.600006,585424
423.5,436.350006,419.25,434.350006,1928351
437.799988,439.399994,428.5,431.399994,1214575
435,435,420.149994,425.350006,482069
430.5,432.399994,420,421.549988,522520
421,427.5,417.049988,424.950012,650980
428,437.700012,425,431.850006,850206
435,435.75,424,429.399994,349418
430.899994,434.950012,429.25,430.649994,218608
432,444.5,430.299988,440,962124
440.299988,446.5,435.25,437.899994,1105230
439,440.899994,420.600006,425.450012,892483
428.049988,430.600006,386,390.450012,2129977
395,398,374.25,386.149994,1723052
394,394.950012,386.25,393.799988,574795
395.5,412.450012,394.950012,407.200012,1879250
408.649994,416.600006,405.549988,415.049988,1075062
416.149994,416.149994,407,410.75,370684
412.049988,413.149994,402.049988,406.100006,676322
407,413,407,410.25,306994
413.450012,414,398.299988,402.299988,275230
398,404.950012,389.5,391.100006,324197
391.100006,396.700012,377,385.149994,511483
377.899994,392,375,377.399994,361466
378,384,368,381.200012,356961
383.649994,391.5,370,372.100006,876274
373.350006,389,365.25,379.200012,327257
377,383.799988,368,380.200012,428272
381.5,384.899994,364.75,368.75,349681
371,374.75,348.399994,356.149994,1165026
357.549988,364.549988,341,352.049988,525796
353,362,345.25,359.75,343422
360,360,350,354.850006,663882
355,375.450012,354,373.5,423515
377,380.899994,366.100006,369.899994,435856
372.75,372.75,357.25,362.149994,276275
366.899994,366.899994,360,361.200012,127046
361,363,351.200012,354.75,309140
351,359,340,355.399994,613534
358.399994,363.5,330.100006,348,808550
349.75,359.950012,340.049988,357.049988,401835
357.100006,363.850006,352.100006,361.200012,162264
362,374,361.549988,373.149994,326146
373.899994,375.399994,363.5,366.75,256092
367.399994,376.399994,364.049988,372.350006,322428
372.350006,379.700012,366,373.850006,361215
382.799988,382.799988,373.299988,374.799988,386458
376.5,389.450012,376.5,388.149994,908101
390,399.850006,389,394.399994,690320
391.049988,395.700012,386.5,391.850006,386608
396.899994,399.799988,392.100006,393.350006,234420
390.5,393.350006,386.5,387.799988,315476
389.100006,390.799988,386.299988,387.049988,165957
388.950012,391.5,384,389.350006,410008
389,395.700012,389,393.899994,312024
394,407.200012,394,404.600006,446136
407,411.850006,405,408.100006,602129
410.899994,410.950012,396.049988,398.700012,264724
401,401,380.399994,385.049988,808716
381,392.899994,372,376.5,418592
378.350006,383,367.100006,373.450012,298051
375,384.899994,368,379.799988,350132
385,386.850006,376.049988,382.5,294182
384,393.5,379.399994,382,290819
