Open,High,Low,Close,Volume
67,68.5,63.299999,63.599998,70832
64.949997,69.25,63.5,67,62980
67.775002,68.224998,65.75,67.199997,10714
68.875,68.900002,67.050003,67.525002,23270
68.5,71,67.574997,69.875,32334
67.5,70.5,67.5,69.925003,14954
72,72.199997,69.625,71.550003,50738
73.375,75.125,72,72.724998,26738
74,75.974998,70.599998,74.050003,50346
74.974998,78,73.650002,74.275002,56560
75.925003,76.5,74.25,74.474998,29106
75,75.5,74,74.099998,16108
74.5,81.449997,73.599998,77.949997,77752
79.025002,80.525002,75.025002,75.650002,22888
74.775002,76.875,74.074997,74.699997,10706
75,75.875,74,75.050003,12174
74.550003,76.375,73.525002,74.199997,10230
72.525002,78.400002,71.074997,72.724998,85868
74.875,74.875,72.5,73,7080
73.375,73.375,73.375,73.375,0
74.5,75,73.75,74.375,15576
74.949997,75.949997,74.025002,75,14606
75.5,78.25,74,74.324997,53118
76.425003,86,75.074997,78.925003,416282
80,80.199997,75.625,76.400002,63516
76.400002,78.5,75,75.574997,36940
75,76.5,74.5,76.099998,15084
76.150002,76.875,74.5,75.074997,15636
74.5,75.5,73.025002,74.925003,15338
76.925003,80,74,74.75,95010
89,89,89,74.75,0
77.5,82,76.5,77.099998,76798
73.550003,82.550003,69,80.099998,78768
82.5,89.099998,80.550003,86.050003,157388
88.949997,89.025002,83.574997,87.224998,70784
89.5,96.5,87.525002,94.800003,222608
94.800003,98.900002,87.400002,87.974998,85914
89.5,92,87.050003,87.75,50934
88.5,88.75,85.75,86.574997,25790
87.449997,91.800003,85.400002,89.25,193564
90.974998,92.449997,88.324997,88.824997,68326
90,90.949997,87,89.300003,30580
90.699997,92.5,89,91.074997,78486
74,91.400002,74,89.75,60840
90.5,95.900002,89.300003,92.025002,164486
92,92,87,87.724998,66698
87.724998,89.400002,85,88.300003,55034
89.949997,91,87.5,88.275002,39266
97.449997,97.449997,86.5,88.474998,86710
90.5,92.324997,88,89.5,140624
90.099998,90.099998,87.5,87.650002,23328
89,90.5,86.050003,89.25,25034
91.175003,91.199997,85.5,87.099998,28512
90,90,82,82.525002,54702
82.525002,86.900002,80.5,83.875,58536
86,86,84.025002,85.099998,18206
84.349998,87.025002,82.5,85.349998,4226890
86.974998,91.324997,85.375,86.800003,3994868
87.550003,90.050003,86.275002,89.074997,150980
90,94.400002,89.25,91.675003,164538
91.675003,92.199997,90,90.125,28212
91.449997,91.449997,88.925003,89.875,48908
90.050003,90.375,88.050003,88.275002,24750
89.949997,99.5,88.75,93.625,544514
92.5,93.400002,90.349998,92.525002,91488
93.5,93.5,89.5,90.025002,65426
90,92.375,86.550003,91.625,45630
90.5,90.974998,89.75,90.025002,34834
86.775002,91,83.849998,89.300003,49140
88.525002,91.5,88.525002,89.675003,24738
87.550003,90.974998,86.75,90.175003,36156
90.275002,94,90.275002,90.925003,49998
92.5,92.5,91,91.125,15032
92.474998,92.949997,91,91.175003,19608
91,91.824997,90.5,90.599998,20076
90.800003,92.5,90.550003,91.75,20120
93.5,98,91.150002,94.25,100640
94.25,95.75,92.574997,93.199997,23972
93.099998,95.5,92.5,93.199997,25342
92.25,94.675003,91.824997,93.775002,18912
90.75,96.5,90.75,96.099998,48400
94.5,99,94.5,98.5,71154
97.5,104.300003,97.5,102.574997,171880
102.400002,111.199997,98,110.625,321168
110.75,111.949997,104.5,107.625,101938
108,112.900002,105.525002,109.175003,74210
110.824997,115.5,107.525002,112,119360
113.25,113.400002,109.025002,109.75,28986
112,112,102.5,104.824997,28072
104.025002,105.925003,102.5,103.400002,21648
107.474998,107.474998,101.025002,102.199997,22568
101.25,106.199997,101.25,105.25,87544
104.949997,111.349998,103.550003,106.150002,383022
107.949997,109.375,106.550003,108.525002,77426
108.5,109.25,105.650002,106.925003,24732
106.349998,108.974998,105,107.599998,49732
107.574997,108.349998,106.599998,107.449997,34894
108,112.525002,107.5,108.449997,80634
110.5,114.5,109.099998,112.699997,108142
114.425003,120,113,118.800003,367270
120,125.349998,120,124.974998,207590
122,140.75,121.775002,135.100006,562742
136.5,143.25,133.074997,137.75,748370
135.699997,139.449997,127.199997,132.274994,305192
132.975006,139.899994,131.5,136.375,194926
135.5,139.550003,132,133.225006,255462
132.5,136,128.5,130.350006,172176
129.975006,136,129,132.649994,213064
136,140.449997,133.774994,136.475006,265036
139.5,142.5,138.75,139.774994,231776
142.524994,143.5,140.074997,141.024994,131468
142.399994,142.399994,131.550003,135.425003,123490
134,139.5,132.699997,134.975006,217418
136.050003,137.899994,133.550003,135.225006,89132
135,141.475006,134.25,136.225006,278594
125.5,136.949997,125.5,130.399994,105090
132.350006,133.699997,130.649994,133.100006,50308
134.5,136.100006,132.550003,133.550003,72048
136,137.25,130.100006,131.125,79550
135.125,135.75,130.75,134.699997,64526
133.625,135.5,131.774994,132.725006,64590
131.5,136.75,131.5,133.199997,98308
131.100006,144.975006,131.100006,140.199997,411130
139.449997,152.100006,137.524994,149.925003,592648
152.5,158.375,152.050003,153.725006,647402
154.725006,159.899994,153.625,157.574997,359756
158.899994,158.899994,153,155.274994,138002
153.5,154.975006,150,151.75,75100
152.5,153.649994,142.600006,151.800003,97498
153,159.175003,152.5,154.375,211320
154.625,156.949997,150.050003,151.899994,63070
155.925003,155.925003,148.050003,149.949997,46810
150.5,153.5,149.274994,151.699997,53108
